epoch,beta,M
0,0.0001,0.02
1,0.0102,0
2,0.0203,0.04
3,0.0304,0.06
4,0.0405,0
5,0.0506,0.14
6,0.0607,0.02
7,0.0708,0.24
8,0.0809,0.04
9,0.091,0.16
10,0.1011,0.12
11,0.1112,0
12,0.1213,0.08
13,0.1314,0.12
14,0.1415,0.06
15,0.1516,0.08
16,0.1617,0.2
17,0.1718,0.08
18,0.1819,0.02
19,0.192,0.14
20,0.2021,0.16
21,0.2122,0.02
22,0.2223,0.24
23,0.2324,0.1
24,0.2425,0.08
25,0.2526,0.36
26,0.2627,0.18
27,0.2728,0.2
28,0.2829,0.66
29,0.293,0.38
30,0.3031,0.34
31,0.3132,0.18
32,0.3233,0.34
33,0.3334,0.2
34,0.3435,0.3
35,0.3536,0.28
36,0.3637,0.6
37,0.3738,0.76
38,0.3839,0.44
39,0.394,0.68
40,0.4041,0.78
41,0.4142,0.86
42,0.4243,0.88
43,0.4344,0.86
44,0.4445,0.96
45,0.4546,0.86
46,0.4647,0.8
47,0.4748,0.98
48,0.4849,0.98
49,0.495,0.9
50,0.5051,0.98
51,0.5152,1
52,0.5253,0.98
53,0.5354,0.96
54,0.5455,0.92
55,0.5556,0.96
56,0.5657,0.96
57,0.5758,0.96
58,0.5859,0.98
59,0.596,1
60,0.6061,1
61,0.6162,0.98
62,0.6263,0.96
63,0.6364,0.98
64,0.6465,0.96
65,0.6566,0.96
66,0.6667,1
67,0.6768,1
68,0.6869,0.98
69,0.697,0.98
70,0.7071,0.98
71,0.7172,1
72,0.7273,1
73,0.7374,1
74,0.7475,0.98
75,0.7576,1
76,0.7677,1
77,0.7778,1
78,0.7879,0.98
79,0.798,1
80,0.8081,1
81,0.8182,1
82,0.8283,0.98
83,0.8384,1
84,0.8485,1
85,0.8586,1
86,0.8687,1
87,0.8788,1
88,0.8889,1
89,0.899,1
90,0.9091,1
91,0.9192,1
92,0.9293,1
93,0.9394,1
94,0.9495,1
95,0.9596,1
96,0.9697,1
97,0.9798,1
98,0.9899,1
99,1,1
